iter	Passed	Remaining
532	14493	12699
533	14516	12667
534	14539	12637
535	14564	12607
536	14591	12580
537	14616	12551
538	14641	12522
539	14664	12491
540	14688	12462
541	14709	12430
542	14735	12402
543	14758	12371
544	14783	12341
545	14809	12313
546	14837	12287
547	14862	12259
548	14888	12230
549	14910	12199
550	14936	12171
551	14961	12142
552	14987	12114
553	15015	12088
554	15042	12060
555	15066	12031
556	15094	12005
557	15123	11979
558	15153	11954
559	15181	11928
560	15205	11898
561	15233	11872
562	15260	11844
563	15282	11814
564	15303	11782
565	15327	11752
566	15353	11724
567	15373	11692
568	15397	11663
569	15419	11632
570	15448	11606
571	15474	11578
572	15496	11548
573	15522	11519
574	15546	11490
575	15571	11462
576	15596	11434
577	15625	11408
578	15654	11382
579	15684	11357
580	15709	11329
581	15732	11299
582	15757	11270
583	15780	11240
584	15805	11212
585	15828	11182
586	15852	11153
587	15876	11124
588	15905	11098
589	15927	11068
590	15952	11039
591	15977	11011
592	16000	10981
593	16022	10951
594	16048	10923
595	16071	10893
596	16095	10865
597	16122	10838
598	16146	10809
599	16170	10780
600	16195	10752
601	16218	10722
602	16240	10692
603	16267	10665
604	16306	10646
605	16338	10623
606	16366	10596
607	16392	10568
608	16418	10541
609	16442	10512
610	16466	10483
611	16491	10455
612	16518	10428
613	16542	10399
614	16567	10371
615	16591	10342
616	16618	10315
617	16641	10286
618	16661	10255
619	16686	10227
620	16710	10198
621	16734	10169
622	16762	10143
623	16789	10116
624	16813	10088
625	16836	10059
626	16859	10029
627	16880	9999
628	16904	9970
629	16926	9940
630	16948	9911
631	16977	9885
632	17009	9861
633	17035	9834
634	17062	9807
635	17090	9781
636	17116	9753
637	17141	9725
638	17163	9696
639	17193	9671
640	17220	9644
641	17243	9615
642	17266	9586
643	17289	9557
644	17313	9528
645	17335	9499
646	17357	9469
647	17380	9441
648	17403	9412
649	17431	9386
650	17453	9356
651	17474	9326
652	17495	9297
653	17521	9269
654	17544	9240
655	17567	9212
656	17588	9182
657	17612	9154
658	17639	9127
659	17665	9100
660	17689	9072
661	17711	9043
662	17738	9016
663	17766	8990
664	17798	8966
665	17831	8942
666	17866	8919
667	17896	8894
668	17920	8866
669	17949	8840
670	17980	8815
671	18011	8791
672	18046	8768
673	18076	8743
674	18101	8715
675	18130	8689
676	18162	8665
677	18191	8639
678	18216	8611
679	18245	8585
680	18276	8561
681	18303	8534
682	18329	8507
683	18360	8482
684	18390	8457
685	18414	8428
686	18442	8402
687	18463	8373
688	18489	8345
689	18511	8316
690	18535	8288
691	18556	8259
692	18577	8229
693	18602	8202
694	18623	8172
695	18644	8143
696	18670	8116
697	18703	8092
698	18740	8069
699	18790	8053
700	18825	8029
701	18857	8004
702	18888	7979
703	18934	7960
704	18965	7935
705	18996	7910
706	19026	7885
707	19055	7858
708	19086	7833
709	19118	7808
710	19146	7782
711	19175	7756
712	19205	7730
713	19232	7703
714	19261	7677
715	19286	7649
716	19312	7622
717	19336	7594
718	19364	7567
719	19388	7539
720	19414	7512
721	19440	7485
722	19463	7456
723	19485	7428
724	19510	7400
725	19534	7372
726	19559	7344
727	19587	7318
728	19614	7291
729	19640	7264
730	19662	7235
731	19685	7207
732	19712	7180
733	19737	7152
734	19761	7124
735	19786	7097
736	19816	7071
737	19839	7043
738	19861	7014
739	19886	6987
740	19909	6959
741	19935	6931
742	19958	6903
743	19980	6875
744	20004	6847
745	20029	6819
746	20056	6793
747	20079	6764
748	20102	6736
749	20127	6709
750	20150	6681
751	20172	6652
752	20194	6624
753	20220	6597
754	20252	6572
755	20281	6545
756	20303	6517
757	20326	6489
758	20350	6461
759	20371	6433
760	20395	6405
761	20421	6378
762	20446	6350
763	20474	6324
764	20501	6297
765	20525	6270
766	20550	6242
767	20575	6215
768	20598	6187
769	20622	6159
770	20647	6132
771	20675	6106
772	20704	6080
773	20730	6053
774	20753	6025
775	20775	5996
776	20796	5968
777	20821	5941
778	20846	5914
779	20872	5887
780	20899	5860
781	20924	5833
782	20947	5805
783	20972	5778
784	20995	5750
785	21017	5722
786	21041	5694
787	21064	5667
788	21089	5639
789	21114	5612
790	21139	5585
791	21160	5557
792	21181	5528
793	21207	5502
794	21231	5474
795	21254	5447
796	21275	5419
797	21301	5392
798	21325	5364
799	21352	5338
800	21372	5309
801	21394	5281
802	21417	5254
803	21439	5226
804	21460	5198
805	21483	5170
806	21509	5144
807	21534	5117
808	21559	5090
809	21584	5062
810	21613	5036
811	21634	5008
812	21655	4981
813	21677	4953
814	21704	4926
815	21730	4899
816	21759	4874
817	21783	4846
818	21809	4819
819	21840	4794
820	21869	4768
821	21900	4742
822	21934	4717
823	21969	4692
824	22007	4668
825	22042	4643
826	22071	4617
827	22100	4590
828	22134	4565
829	22162	4539
830	22197	4514
831	22226	4488
832	22289	4468
833	22320	4442
834	22348	4416
835	22375	4389
836	22412	4364
837	22439	4337
